Time ,Total,Hydrophobic,Hydrophilic
548100,247.355,112.863,110.019
548800,237.384,106.905,107.129
549500,238.987,105.874,108.524
550200,242.805,107.965,109.733
550900,236.941,104.231,106.707
551600,231.78,103.515,104.26
552300,233.066,105.219,104.597
553000,234.265,105.893,104.833
553700,237.697,108.33,105.777
554400,236.962,106.837,106.668
555100,237.471,106.385,106.527
555800,233.635,105.362,103.629
556500,235.209,106.509,105.267
557200,235.212,107.761,104.918
557900,238.565,109.211,106.68
558600,240.086,108.589,104.777
559300,241.041,109.808,106.203
560000,236.645,105.341,106.241
560700,236.225,103.673,109.049
561400,238.83,109.74,106.4
562100,244.203,107.581,111.21
562800,240.304,107.309,108.811
563500,233.642,106.493,104.524
564200,238.496,108.017,108.388
564900,236.823,106.966,105.581
565600,237.697,109.184,103.527
566300,236.869,109.167,104.726
567000,236.717,106.146,105.171
567700,237.896,105.892,106.417
568400,234.474,107.463,102.274
569100,237.385,106.159,105.736
569800,239.687,108.108,104.41
570500,234.823,106.475,103.99
571200,232.46,104.964,103.247
571900,235.422,108.781,102.66
572600,231.962,107.277,102.079
573300,242.596,110.422,108.507
574000,244.302,112.914,108.067
574700,237.815,109.265,104.646
575400,242.769,108.326,110.139
576100,242.183,111.265,107.919
576800,239.382,108.234,107.375
577500,242.578,109.413,106.359
578200,234.489,104.985,106.128
578900,238.562,107.701,104.328
579600,235.333,105.164,106.049
580300,235.987,105.871,103.925
581000,238.881,105.29,108.203
581700,233.625,105.814,104.301
582400,240.55,110.232,107.199
583100,243.512,109.402,108.398
583800,237.422,106.569,107.247
584500,236.004,105.705,104.587
585200,232.025,103.271,104.39
585900,235.912,106.714,105.279
586600,238.51,107.169,106.835
587300,236.396,105.592,107.072
588000,235.735,105.117,106.555
588700,236.684,106.236,106.193
589400,240.183,109.994,105.933
590100,237.447,106.704,104.77
590800,237.1,108.747,103.619
591500,235.814,107.345,104.243
592200,241.593,107.552,109.549
592900,239.894,109.44,106.902
593600,236.63,107.374,106.038
594300,239.204,107.437,106.294
595000,239.645,107.156,107.797
595700,239.187,108.909,107.653
596400,243.03,109.805,107.374
597100,243.74,109.569,108.56
597800,244.166,108.897,110.968
598500,238.982,106.482,107.758
599200,240.187,104.28,109.843
599900,237.84,105.315,108.25
600600,237.541,106.573,106.762
601300,239.651,106.308,108.542
602000,236.38,104.481,105.986
602700,240.828,104.057,110.47
603400,236.955,104.36,106.552
604100,234.601,102.198,104.581
604800,243.38,107.068,108.596
605500,245.27,108.156,110.578
606200,245.147,109.59,108.356
606900,243.274,111.094,106.669
607600,238.329,108.322,105.015
608300,242.583,107.243,108.603
609000,242.156,108.489,107.227
609700,245.276,105.023,111.737
610400,250.369,109.98,111.775
611100,247.425,109.642,109.501
611800,250.57,109.503,111.086
612500,249.581,108.392,112.883
613200,245.423,108.124,110.569
613900,241.15,104.579,109.081
614600,240.934,107.278,105.847
615300,237.7,106.732,104.609
616000,247.301,109.602,110.33
616700,239.116,108.745,102.165
